ID;Nationality;Age;BookingsCanceled;PersonsNights;RoomNights;DistributionChannel;MarketSegment;Recomendation
421;USA;68;0;2;1;Travel Agent/Operator;Travel Agent/Operator;Yes
422;USA;68;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
423;PRT;31;0;2;2;Travel Agent/Operator;Travel Agent/Operator;Yes
424;PRT;53;0;1;1;Travel Agent/Operator;Travel Agent/Operator;Yes
425;AGO;42;0;2;1;Direct;Direct;Yes
426;PRT;35;0;4;2;Travel Agent/Operator;Travel Agent/Operator;Yes
427;PRT;75;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
428;FRA;69;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
429;PRT;22;0;14;14;Direct;Complementary;Yes
430;PRT;34;0;2;1;Travel Agent/Operator;Other;Yes
431;FRA;56;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
432;FRA;45;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
433;DEU;67;0;12;6;Travel Agent/Operator;Travel Agent/Operator;Yes
434;DEU;53;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
435;IRL;50;0;4;2;Direct;Direct;Yes
436;IRL;12;0;0;0;Direct;Direct;No
437;IRL;15;0;0;0;Direct;Direct;No
438;IRL;11;0;0;0;Direct;Direct;No
439;PRT;23;0;6;2;Direct;Direct;Yes
440;ROU;57;0;4;2;Travel Agent/Operator;Travel Agent/Operator;Yes
441;ROU;51;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
442;ROU;43;0;4;2;Travel Agent/Operator;Travel Agent/Operator;Yes
443;ROU;40;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
444;ROU;47;0;4;2;Travel Agent/Operator;Travel Agent/Operator;Yes
445;ROU;39;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
446;FRA;54;0;12;6;Travel Agent/Operator;Travel Agent/Operator;Yes
447;FRA;52;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
448;AGO;52;0;2;1;Direct;Direct;Yes
449;NLD;36;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
450;NLD;32;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
451;PRT;45;0;4;2;Direct;Complementary;Yes
452;PRT;72;0;0;0;Direct;Complementary;No
453;USA;32;0;2;1;Travel Agent/Operator;Other;Yes
454;USA;45;0;0;0;Travel Agent/Operator;Other;No
455;PRT;56;0;1;1;Corporate;Corporate;Yes
456;PRT;65;0;2;1;Corporate;Corporate;Yes
457;PRT;41;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
458;FRA;39;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
459;CAN;51;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
460;FRA;53;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
461;FRA;57;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
462;DEU;39;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
463;PRT;30;0;5;5;Direct;Direct;Yes
464;GBR;64;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
465;GBR;63;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
466;BEL;62;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
467;BEL;54;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
468;GBR;41;0;3;3;Travel Agent/Operator;Travel Agent/Operator;Yes
469;FRA;51;0;10;5;Travel Agent/Operator;Other;Yes
470;FRA;64;0;0;0;Travel Agent/Operator;Other;No
471;PRT;64;0;1;1;Direct;Direct;Yes
472;PRT;41;0;1;1;Direct;Direct;Yes
473;PRT;58;0;2;1;Travel Agent/Operator;Other;Yes
474;PRT;39;0;0;0;Travel Agent/Operator;Other;No
475;PRT;58;0;6;3;Travel Agent/Operator;Travel Agent/Operator;No
476;HUN;29;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
477;DEU;55;0;5;5;Travel Agent/Operator;Travel Agent/Operator;Yes
478;ZAF;51;0;12;6;Travel Agent/Operator;Other;Yes
479;PRT;51;0;0;0;Travel Agent/Operator;Other;No
480;POL;59;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
481;POL;56;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
482;PRT;60;0;4;4;Direct;Direct;Yes
483;FRA;32;0;9;3;Travel Agent/Operator;Travel Agent/Operator;Yes
484;FRA;32;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
485;FRA;74;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
486;PRT;39;0;1;1;Direct;Direct;No
487;FRA;40;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
488;FRA;38;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
489;NLD;39;0;1;1;Travel Agent/Operator;Travel Agent/Operator;Yes
490;BEL;48;0;12;4;Travel Agent/Operator;Other;Yes
491;TWN;70;0;0;0;Travel Agent/Operator;Other;No
492;BEL;53;0;0;0;Travel Agent/Operator;Other;No
493;PRT;54;0;1;1;Direct;Direct;No
494;FRA;30;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
495;FRA;36;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
496;AGO;52;0;4;2;Direct;Direct;Yes
497;AGO;18;0;0;0;Direct;Direct;No
498;USA;66;0;14;7;Travel Agent/Operator;Other;Yes
499;USA;67;0;0;0;Travel Agent/Operator;Other;No
500;FRA;30;0;1;1;Travel Agent/Operator;Other;Yes
501;PRT;42;0;0;0;Travel Agent/Operator;Other;No
502;DEU;61;0;2;1;Travel Agent/Operator;Other;Yes
503;PRT;32;0;1;1;Corporate;Corporate;No
504;PRT;31;0;1;1;Corporate;Corporate;No
505;PRT;31;0;1;1;Corporate;Corporate;No
506;PRT;27;0;1;1;Corporate;Corporate;No
507;PRT;35;0;1;1;Travel Agent/Operator;Travel Agent/Operator;Yes
508;ITA;50;0;1;1;Travel Agent/Operator;Travel Agent/Operator;Yes
509;PRT;34;0;2;1;Travel Agent/Operator;Travel Agent/Operator;Yes
519;AGO;34;0;0;0;Travel Agent/Operator;Other;No
520;PRT;51;0;3;1;Travel Agent/Operator;Travel Agent/Operator;Yes
521;PRT;50;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
522;FRA;64;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
523;PRT;44;0;2;1;Direct;Direct;Yes
524;FRA;42;0;4;2;Travel Agent/Operator;Other;Yes
525;FRA;31;0;0;0;Travel Agent/Operator;Other;No
526;DEU;46;0;2;2;Travel Agent/Operator;Other;Yes
527;FRA;36;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
528;FRA;38;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
529;BEL;38;0;6;3;Direct;Direct;Yes
530;BEL;37;0;0;0;Direct;Direct;No
531;PRT;32;0;2;1;Direct;Direct;Yes
532;PRT;32;0;0;0;Direct;Direct;No
533;PRT;34;0;6;3;Travel Agent/Operator;Groups;Yes
534;FRA;64;0;6;3;Travel Agent/Operator;Groups;Yes
535;FRA;50;0;0;0;Travel Agent/Operator;Groups;No
536;FRA;34;0;0;0;Travel Agent/Operator;Groups;No
537;FRA;66;0;6;3;Travel Agent/Operator;Groups;Yes
538;FRA;53;0;6;3;Travel Agent/Operator;Groups;Yes
539;FRA;47;0;6;3;Travel Agent/Operator;Groups;Yes
540;FRA;27;0;3;3;Travel Agent/Operator;Groups;Yes
541;FRA;31;0;6;3;Travel Agent/Operator;Groups;Yes
542;FRA;31;0;6;3;Travel Agent/Operator;Groups;Yes
543;FRA;38;0;6;3;Travel Agent/Operator;Groups;Yes
544;FRA;28;0;6;3;Travel Agent/Operator;Groups;Yes
545;FRA;38;0;6;3;Travel Agent/Operator;Groups;Yes
546;FRA;36;0;6;3;Travel Agent/Operator;Groups;Yes
547;FRA;41;0;6;3;Travel Agent/Operator;Groups;Yes
548;PRT;54;0;6;3;Travel Agent/Operator;Groups;Yes
549;PRT;33;0;6;3;Travel Agent/Operator;Groups;Yes
550;PRT;31;0;0;0;Travel Agent/Operator;Groups;No
551;FRA;41;0;3;3;Travel Agent/Operator;Groups;Yes
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
